Alloc. source dept. CD,Alloc. source dept. name,Alloc. A/C CD,Alloc. A/C name,Alloc. rate CD,Alloc. rate name,Transfer alloc. A/C CD,Transfer alloc. A/C name
CPPMAB,Auto Belt Common,8220101,[M]Bonus,FC009,"Prodution r(RA,RE)",8220101WS,[M]Bonus
CPPMLG,Logistics,8220101,[M]Bonus,FC017,Prodution r(RAREWP),8220101OT,[M]Bonus
CPPMMT,Material Common,8220101,[M]Bonus,FC004,Personnel ratio(MAT),8220101WS,[M]Bonus
CPPMPE,PE Common,8220101,[M]Bonus,FC002,Production ratio,8220101TE,[M]Bonus
CPPMPL,Planning,8220101,[M]Bonus,FC002,Production ratio,8220101PL,[M]Bonus
CPQA00,Quality assurance,8220101,[M]Bonus,FC002,Production ratio,8220101OT,[M]Bonus
CPSE00,Safety & Environment,8220101,[M]Bonus,FC001,Personnel ratio,8220101OT,[M]Bonus
CPSLWS,Sunline WS,8220101,[M]Bonus,FC011,Prodution r(SL),8220101WS,[M]Bonus
CPSYWS,Synchro WS,8220101,[M]Bonus,FC012,Prodution r(SYN),8220101WS,[M]Bonus
CPTOLB,Tooling label,8220101,[M]Bonus,FC003,Production ratio(PR),8220101TE,[M]Bonus
CPTOMD,Tooling mold,8220101,[M]Bonus,FC003,Production ratio(PR),8220101TE,[M]Bonus
CPTOWS,Tooling WS,8220101,[M]Bonus,FC003,Production ratio(PR),8220101TE,[M]Bonus
CPWPWS,WP WS,8220101,[M]Bonus,FC010,Prodution r(WP),8220101WS,[M]Bonus
CPABWS,Auto WS,8230001,[M]Legal welfare expenses,FC009,"Prodution r(RA,RE)",8230001WS,[M]Legal welfare expenses
CPATWS,AT WS,8230001,[M]Legal welfare expenses,FC007,Prodution ratio(AT),8230001WS,[M]Legal welfare expenses
CPBMGA,General affair,8230001,[M]Legal welfare expenses,FC001,Personnel ratio,8230001OT,[M]Legal welfare expenses
CPBR03,Wiper Mold,8230001,[M]Legal welfare expenses,FC008,Prodution r(WIPER),8230001WS,[M]Legal welfare expenses
CPBR07,Wiper laboratory,8230001,[M]Legal welfare expenses,FC008,Prodution r(WIPER),8230001WS,[M]Legal welfare expenses
CPBRPK,Wiper Packing,8230001,[M]Legal welfare expenses,FC008,Prodution r(WIPER),8230001WS,[M]Legal welfare expenses
CPBRWS,Wiper WS,8230001,[M]Legal welfare expenses,FC008,Prodution r(WIPER),8230001WS,[M]Legal welfare expenses
CPFC00,Factory Common,8230001,[M]Legal welfare expenses,FC001,Personnel ratio,8230001OT,[M]Legal welfare expenses
CPFC01,Factory1,8230001,[M]Legal welfare expenses,FC013,Personnel r(WP),8230001OT,[M]Legal welfare expenses
CPFC02,Factory2,8230001,[M]Legal welfare expenses,FC014,"Personnel r(RA,RE)",8230001OT,[M]Legal welfare expenses
CPFC03,Factory3,8230001,[M]Legal welfare expenses,FC015,Personnel r(MAT),8230001OT,[M]Legal welfare expenses
CPFC04,Factory4,8230001,[M]Legal welfare expenses,FC016,"Personnel r(SL,GD)",8230001OT,[M]Legal welfare expenses
CPFC05,Factory5,8230001,[M]Legal welfare expenses,FC008,Prodution r(WIPER),8230001OT,[M]Legal welfare expenses
CPFC06,Factory6,8230001,[M]Legal welfare expenses,FC017,Prodution r(RAREWP),8230001OT,[M]Legal welfare expenses
CPFC07,Factory7,8230001,[M]Legal welfare expenses,FC018,"Personnel r(AT,SYN)",8230001OT,[M]Legal welfare expenses
CPFCTH,Tent House,8230001,[M]Legal welfare expenses,FC015,Personnel r(MAT),8230001OT,[M]Legal welfare expenses
CPKZ00,KAIZEN,8230001,[M]Legal welfare expenses,FC002,Production ratio,8230001OT,[M]Legal welfare expenses
CPMG00,Management Cost,8230001,[M]Legal welfare expenses,FC001,Personnel ratio,8230001OT,[M]Legal welfare expenses
CPMTBB,BANBURY,8230001,[M]Legal welfare expenses,FC005,Personnel r(BANBURY),8230001WS,[M]Legal welfare expenses
CPMTGD,GD Common,8230001,[M]Legal welfare expenses,FC006,Personnel ratio(GD),8230001WS,[M]Legal welfare expenses
CPMTWS,Material WS,8230001,[M]Legal welfare expenses,FC004,Personnel ratio(MAT),8230001WS,[M]Legal welfare expenses
CPPEMN,Maintenance,8230001,[M]Legal welfare expenses,FC002,Production ratio,8230001TE,[M]Legal welfare expenses
CPPEPE,PE,8230001,[M]Legal welfare expenses,FC002,Production ratio,8230001TE,[M]Legal welfare expenses
CPPM00,Pro. Management,8230001,[M]Legal welfare expenses,FC002,Production ratio,8230001OT,[M]Legal welfare expenses
CPPMAB,Auto Belt Common,8230001,[M]Legal welfare expenses,FC009,"Prodution r(RA,RE)",8230001WS,[M]Legal welfare expenses
CPPMLG,Logistics,8230001,[M]Legal welfare expenses,FC017,Prodution r(RAREWP),8230001OT,[M]Legal welfare expenses
CPPMMT,Material Common,8230001,[M]Legal welfare expenses,FC004,Personnel ratio(MAT),8230001WS,[M]Legal welfare expenses
CPPMPE,PE Common,8230001,[M]Legal welfare expenses,FC002,Production ratio,8230001TE,[M]Legal welfare expenses
CPPMPL,Planning,8230001,[M]Legal welfare expenses,FC002,Production ratio,8230001PL,[M]Legal welfare expenses
CPQA00,Quality assurance,8230001,[M]Legal welfare expenses,FC002,Production ratio,8230001OT,[M]Legal welfare expenses
CPSE00,Safety & Environment,8230001,[M]Legal welfare expenses,FC001,Personnel ratio,8230001OT,[M]Legal welfare expenses
CPSLWS,Sunline WS,8230001,[M]Legal welfare expenses,FC011,Prodution r(SL),8230001WS,[M]Legal welfare expenses
CPSYWS,Synchro WS,8230001,[M]Legal welfare expenses,FC012,Prodution r(SYN),8230001WS,[M]Legal welfare expenses
CPTOLB,Tooling label,8230001,[M]Legal welfare expenses,FC003,Production ratio(PR),8230001TE,[M]Legal welfare expenses
CPTOMD,Tooling mold,8230001,[M]Legal welfare expenses,FC003,Production ratio(PR),8230001TE,[M]Legal welfare expenses
CPTOWS,Tooling WS,8230001,[M]Legal welfare expenses,FC003,Production ratio(PR),8230001TE,[M]Legal welfare expenses
CPWPWS,WP WS,8230001,[M]Legal welfare expenses,FC010,Prodution r(WP),8230001WS,[M]Legal welfare expenses
CPABWS,Auto WS,8240001,[M]Welfare expenses,FC009,"Prodution r(RA,RE)",8240001WS,[M]Welfare expenses
CPATWS,AT WS,8240001,[M]Welfare expenses,FC007,Prodution ratio(AT),8240001WS,[M]Welfare expenses
CPBMGA,General affair,8240001,[M]Welfare expenses,FC001,Personnel ratio,8240001OT,[M]Welfare expenses
CPBR03,Wiper Mold,8240001,[M]Welfare expenses,FC008,Prodution r(WIPER),8240001WS,[M]Welfare expenses
CPBR07,Wiper laboratory,8240001,[M]Welfare expenses,FC008,Prodution r(WIPER),8240001WS,[M]Welfare expenses
CPBRPK,Wiper Packing,8240001,[M]Welfare expenses,FC008,Prodution r(WIPER),8240001WS,[M]Welfare expenses
CPBRWS,Wiper WS,8240001,[M]Welfare expenses,FC008,Prodution r(WIPER),8240001WS,[M]Welfare expenses
CPFC00,Factory Common,8240001,[M]Welfare expenses,FC001,Personnel ratio,8240001OT,[M]Welfare expenses
CPFC01,Factory1,8240001,[M]Welfare expenses,FC013,Personnel r(WP),8240001OT,[M]Welfare expenses
CPFC02,Factory2,8240001,[M]Welfare expenses,FC014,"Personnel r(RA,RE)",8240001OT,[M]Welfare expenses
CPFC03,Factory3,8240001,[M]Welfare expenses,FC015,Personnel r(MAT),8240001OT,[M]Welfare expenses
CPFC04,Factory4,8240001,[M]Welfare expenses,FC016,"Personnel r(SL,GD)",8240001OT,[M]Welfare expenses
CPFC05,Factory5,8240001,[M]Welfare expenses,FC008,Prodution r(WIPER),8240001OT,[M]Welfare expenses
CPFC06,Factory6,8240001,[M]Welfare expenses,FC017,Prodution r(RAREWP),8240001OT,[M]Welfare expenses
CPFC07,Factory7,8240001,[M]Welfare expenses,FC018,"Personnel r(AT,SYN)",8240001OT,[M]Welfare expenses
CPFCTH,Tent House,8240001,[M]Welfare expenses,FC015,Personnel r(MAT),8240001OT,[M]Welfare expenses
CPKZ00,KAIZEN,8240001,[M]Welfare expenses,FC002,Production ratio,8240001OT,[M]Welfare expenses
CPMG00,Management Cost,8240001,[M]Welfare expenses,FC001,Personnel ratio,8240001OT,[M]Welfare expenses
CPMTBB,BANBURY,8240001,[M]Welfare expenses,FC005,Personnel r(BANBURY),8240001WS,[M]Welfare expenses
CPMTGD,GD Common,8240001,[M]Welfare expenses,FC006,Personnel ratio(GD),8240001WS,[M]Welfare expenses
CPMTWS,Material WS,8240001,[M]Welfare expenses,FC004,Personnel ratio(MAT),8240001WS,[M]Welfare expenses
CPPEMN,Maintenance,8240001,[M]Welfare expenses,FC002,Production ratio,8240001TE,[M]Welfare expenses
CPPEPE,PE,8240001,[M]Welfare expenses,FC002,Production ratio,8240001TE,[M]Welfare expenses
CPPM00,Pro. Management,8240001,[M]Welfare expenses,FC002,Production ratio,8240001OT,[M]Welfare expenses
CPPMAB,Auto Belt Common,8240001,[M]Welfare expenses,FC009,"Prodution r(RA,RE)",8240001WS,[M]Welfare expenses
CPPMLG,Logistics,8240001,[M]Welfare expenses,FC017,Prodution r(RAREWP),8240001OT,[M]Welfare expenses
CPPMMT,Material Common,8240001,[M]Welfare expenses,FC004,Personnel ratio(MAT),8240001WS,[M]Welfare expenses
CPPMPE,PE Common,8240001,[M]Welfare expenses,FC002,Production ratio,8240001TE,[M]Welfare expenses
CPPMPL,Planning,8240001,[M]Welfare expenses,FC002,Production ratio,8240001PL,[M]Welfare expenses
CPQA00,Quality assurance,8240001,[M]Welfare expenses,FC002,Production ratio,8240001OT,[M]Welfare expenses
CPSE00,Safety & Environment,8240001,[M]Welfare expenses,FC001,Personnel ratio,8240001OT,[M]Welfare expenses
CPSLWS,Sunline WS,8240001,[M]Welfare expenses,FC011,Prodution r(SL),8240001WS,[M]Welfare expenses
CPSYWS,Synchro WS,8240001,[M]Welfare expenses,FC012,Prodution r(SYN),8240001WS,[M]Welfare expenses
